indice_tiempo,financiamiento_mercado_capitales_ge_on_vcp,financiamiento_mercado_capitales_ge_ff,financiamiento_mercado_capitales_ge_acciones,financiamiento_mercado_capitales_ge_cdcp,financiamiento_mercado_capitales_ge_total,financiamiento_mercado_capitales_pymes_on_vcp,financiamiento_mercado_capitales_pymes_ff,financiamiento_mercado_capitales_pymes_acciones,financiamiento_mercado_capitales_pymes_cdcp,financiamiento_mercado_capitales_pymes_pagares,financiamiento_mercado_capitales_pymes_total,financiamiento_mercado_capitales_total_general,tasa_interes_vdf_senior,tasa_interes_cpdp,tasa_interes_cpda,emisiones_ge_on,emisiones_ge_ff,emisiones_ge_acc,emisiones_ge_cpd,emisiones_ge_total,emisiones_pymes_on,emisiones_pymes_ff,emisiones_pymes_acc,emisiones_pymes_cpd,emisiones_pymes_pag,emisiones_pymes_total,emisiones_totales_ge_pymes,eff_agropecuarios,eff_estructurados,eff_creditos_comerciales,eff_flujos_futuros,eff_inmobiliario_hipotecario,eff_leasing,eff_prendarios,eff_obras_publicas,eff_prestamos_personales_consumo,eff_tarjetas_credito,eff_innovacion_financiera,eff_financiacion_exportaciones,act_financieras_seguros,actividades_inmobiliarias,agricultura_ganaderia,alimentos_bebidas,bancos,calzado_indumentaria,comercio,construccion,distribucion_energia_electrica,distribucion_de_gas,editoriales_imprentas,equipamiento_hogar,generacion_energia_electrica,grupos_concesionarios,holdings,industria_automotriz,industria_petroleo_gas,industria_farmaceutica,industria_metalurgica_siderurgica,industria_quimica_petroquimica,manufacturas_origen_agropecuario,manufacturas_origen_industrial,manufacturas_actividades_empresariales,manufacturas_papel_celulosa,manufacturas_servicios_informaticos,manufacturas_tecnologia,manufacturas_telecomunicaciones,manufacturas_transporte_energia_electrica,manufacturas_transporte_gas,manufacturas_transporte_pasajeros_peajes
2009-03-01,7084769.124741558,437720393.18548673,,556663.4113017815,445361825.7215301,,,,14999364.419608697,,14999364.419608697,460361190.1411388,0.19598788159000002,0.25750912,0.1849539,1.0,13.0,,44.0,58.0,,,,2371.0,,2371.0,2429.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-01,19595306.648575306,155528534.57335883,,798533.941862618,175922375.16379675,,2112963.0,,14444520.001851508,,16557483.001851508,192479858.16564825,0.18586062537,0.25975851,0.17350349999999998,2.0,19.0,,46.0,67.0,,1.0,,2042.0,,2043.0,2110.0,,,,,,,,,,,,,,,,,,,,,0.3012102211222317,0.6987897788777683,,,,,,,,,,,,,,,,,,,,
2009-05-01,44697643.918506734,57906467.19564789,,534981.2800158061,103139092.39417043,1800000.0,,,13712315.868526708,,15512315.868526708,118651408.26269715,0.17486043927,0.29418957,0.16348880999999998,2.0,6.0,,48.0,56.0,1.0,,,2028.0,,2029.0,2085.0,,,,,,,,,,,,,0.5237609546640426,,,0.03871163887690176,,,,,0.4375274064590557,,,,,,,,,,,,,,,,,,,,,
2009-06-01,168868890.30674666,467045982.0430037,,617506.9606716748,636532379.310422,,1036258.3388704318,,17509121.22050376,,18545379.55937419,655077758.8697962,0.18286381288,0.24775613,0.16694277,6.0,13.0,,49.0,68.0,,1.0,,2815.0,,2816.0,2884.0,,,,,,,,,,,,,,,,,0.26647892289845976,0.04696698354676532,0.0785899647271134,,,,,,,,,,,,0.6079641288276615,,,,,,,,,,,
2009-07-01,,112159741.69773456,,932933.2887834123,113092674.98651798,,,,19991019.70709468,,19991019.70709468,133083694.69361266,0.20151736667,0.25490834,0.16413384,,12.0,,55.0,67.0,,,,3052.0,,3052.0,3119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-01,56579256.360078275,240101936.36405256,8419840.290531777,580324.1346560416,305681357.14931864,,12255202.809384268,,21591565.577492278,,33846768.386876546,339528125.53619516,0.14045345654,0.20781566999999998,0.14533928,3.0,11.0,1.0,54.0,69.0,,3.0,,2337.0,,2340.0,2409.0,,,,,,,,,,,,,0.8837161040398451,,,,,,,,0.11628389596015495,,,,,,,,,,,,,,,,,,,,,
2009-09-01,116512411.43951902,117398136.17721182,279155064.54,603353.4039924571,513668965.56072336,300000.0,14637215.0,,21116676.915274076,,36053891.915274076,549722857.4759974,0.13794703247999998,0.20785122,0.14554317,7.0,13.0,1.0,51.0,72.0,1.0,3.0,,3095.0,,3099.0,3171.0,,,,,,,,,,,,,,,0.2221586389412177,0.08817556176667875,0.06552495053726977,,,,,,,,,,,,0.6241408487548339,,,,,,,,,,,,,
2009-10-01,42957291.92047431,155407487.94183195,37058347.74,961925.6064126999,236385053.208719,,7544400.0,,18103662.23661192,,25648062.23661192,262033115.44533092,0.12865699889,0.21494612,0.14587834,4.0,17.0,1.0,66.0,88.0,,2.0,,2879.0,,2881.0,2969.0,,,,,,,,,,,,,0.42601972276675987,,,,,,,0.279347218214204,0.2946330590190362,,,,,,,,,,,,,,,,,,,,,
2009-11-01,91198231.91775453,176597654.22017002,,1186946.923258436,268982833.061183,,13463689.44793713,,18875440.431556597,,32339129.87949373,301321962.9406767,0.12113126511000001,0.19726006999999998,0.14267616,7.0,13.0,,68.0,88.0,,4.0,,3070.0,,3074.0,3162.0,,,,,,,,,,,,,0.40731707268336864,0.23215854952916493,,,,,0.08639625628456508,,,,,,,,,,,,,,,,,,,0.27412812150290133,,,,
2009-12-01,90766903.40919694,261336251.4258155,,883645.4667121527,352986800.3017246,,14494600.0,,21274639.785341274,,35769239.78534128,388756040.0870659,0.13240020744,0.17422848999999999,0.13513303000000002,6.0,16.0,,39.0,61.0,,3.0,,3083.0,,3086.0,3147.0,,,,,,,,,,,,,0.44241772634317256,,0.08732424665467477,,0.181443446191153,,,,,0.2888145808109996,,,,,,,,,,,,,,,,,,,,
